score hours prep grade anomaly md
91 16 3 70 1 16.57586486229827
93 6 4 88 0 2.6211932067236208
72 2 0 80 0 5.160575640812116
87 1 3 83 0 5.084415593623001
86 2 4 88 0 3.9016457057776237
73 3 0 84 0 4.103576586541184
68 2 1 78 0 4.133687434357904
87 5 2 94 0 2.4229838223534625
78 2 1 90 0 1.6447233238525365
99 5 2 93 0 5.660662096958575
95 2 3 89 0 3.9387852735137545
76 3 3 82 0 2.924945353660442
84 4 3 95 0 2.744080923259665
96 3 2 94 0 4.34748426409992
76 3 2 81 0 1.4984466022542848
80 3 2 93 0 1.4661534533750327
83 4 3 93 0 1.9809156296080688
84 3 3 90 0 0.7548251957124182
73 4 2 89 0 2.7524640384968952
74 4 2 89 0 2.2825709927212015
